date,NO_MUNICIPIO,DS_ATIVIDADE_PROFISSIONAL,POPULACAO_MENSAL,GROWTH_PCT,lag1,rolling3,time_index,PROFISSIONAIS_POR_1000
2025-07-01,PRESIDENTE PRUDENTE,MEDICO RADIOTERAPEUTA,234706.0,0.0,0.0255638969604526,0.0255638969604526,35,0.0255638969604526
2025-04-01,PRESIDENTE PRUDENTE,MEDICO RESIDENTE,234706.0,0.0,0.0298245464538614,0.0298245464538614,33,0.0298245464538614
2025-06-01,PRESIDENTE PRUDENTE,MEDICO RESIDENTE,234706.0,0.0,0.0298245464538614,0.0411862784362848,34,0.0639097424011316
2025-07-01,PRESIDENTE PRUDENTE,MEDICO RESIDENTE,234706.0,0.0,0.0639097424011316,0.052548010418708206,35,0.0639097424011316
2025-04-01,PRESIDENTE PRUDENTE,MEDICO REUMATOLOGISTA,234706.0,0.0,0.0213032474670438,0.0213032474670438,33,0.0213032474670438
2025-06-01,PRESIDENTE PRUDENTE,MEDICO REUMATOLOGISTA,234706.0,0.0,0.0213032474670438,0.0213032474670438,34,0.0213032474670438
2025-07-01,PRESIDENTE PRUDENTE,MEDICO REUMATOLOGISTA,234706.0,0.0,0.0213032474670438,0.0213032474670438,35,0.0213032474670438
2025-04-01,PRESIDENTE PRUDENTE,MEDICO SANITARISTA,234706.0,0.0,0.0042606494934087,0.0042606494934087,33,0.0042606494934087
2025-06-01,PRESIDENTE PRUDENTE,MEDICO SANITARISTA,234706.0,0.0,0.0042606494934087,0.0042606494934087,34,0.0042606494934087
2025-07-01,PRESIDENTE PRUDENTE,MEDICO SANITARISTA,234706.0,0.0,0.0042606494934087,0.0042606494934087,35,0.0042606494934087
2025-04-01,PRESIDENTE PRUDENTE,MEDICO UROLOGISTA,234706.0,0.0,0.0852129898681755,0.08521298986817548,33,0.0894736393615842
2025-06-01,PRESIDENTE PRUDENTE,MEDICO UROLOGISTA,234706.0,0.0,0.0894736393615842,0.08947363936158424,34,0.093734288854993
2025-07-01,PRESIDENTE PRUDENTE,MEDICO UROLOGISTA,234706.0,0.0,0.093734288854993,0.09231407235719008,35,0.093734288854993
2025-04-01,PRESIDENTE PRUDENTE,MEDICO VETERINARIO,234706.0,0.0,0.0127819484802263,0.0127819484802263,33,0.0127819484802263
2025-06-01,PRESIDENTE PRUDENTE,MEDICO VETERINARIO,234706.0,0.0,0.0127819484802263,0.014202164978029232,34,0.0170425979736351
2025-07-01,PRESIDENTE PRUDENTE,MEDICO VETERINARIO,234706.0,0.0,0.0170425979736351,0.015622381475832165,35,0.0170425979736351
2025-04-01,QUELUZ,MEDICO CARDIOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO CARDIOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO CARDIOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-04-01,QUELUZ,MEDICO CIRURGIAO GERAL,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO CIRURGIAO GERAL,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO CIRURGIAO GERAL,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-04-01,QUELUZ,MEDICO CLINICO,90740.0,0.0,0.3195944456689442,0.3269414444199544,21,0.3416354419219748
2025-06-01,QUELUZ,MEDICO CLINICO,90740.0,0.0,0.3416354419219748,0.34163544192197487,22,0.3636764381750055
2025-07-01,QUELUZ,MEDICO CLINICO,90740.0,0.0,0.3636764381750055,0.36000293879950035,23,0.3746969363015208
2025-04-01,QUELUZ,MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA,90740.0,0.0,0.0440819925060612,0.0440819925060612,21,0.0440819925060612
2025-06-01,QUELUZ,MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA,90740.0,0.0,0.0440819925060612,0.0440819925060612,22,0.0440819925060612
2025-07-01,QUELUZ,MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA,90740.0,0.0,0.0440819925060612,0.0440819925060612,23,0.0440819925060612
2025-04-01,QUELUZ,MEDICO DO TRABALHO,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO DO TRABALHO,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO DO TRABALHO,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-04-01,QUELUZ,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,90740.0,0.0,0.0330614943795459,0.0330614943795459,21,0.0330614943795459
2025-06-01,QUELUZ,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,90740.0,0.0,0.0330614943795459,0.040408493130556104,22,0.0551024906325765
2025-07-01,QUELUZ,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,90740.0,0.0,0.0551024906325765,0.0477554918815663,23,0.0551024906325765
2025-07-01,QUELUZ,MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,3,0.0110204981265153
